Category,Key,Value
Current Product Capabilities,Capability,Tasks with unresolved constraints are NOT currently blocked from commitment (readiness gating planned)
Product Gaps vs Competitors,Gap,No dedicated Weekly Work Plan view
Product Gaps vs Competitors,Gap,No readiness gating enforcement (constraints visible but do not block commitment)
Product Gaps vs Competitors,Gap,No spatial / location centric view (planned)
Product Gaps vs Competitors,Gap,No offline mobile mode (planned)
Product Gaps vs Competitors,Gap,No schedule change log or schedule impact request workflow
Product Gaps vs Competitors,Gap,No portfolio / multi-project view
Product Gaps vs Competitors,Gap,No daily meetings / huddle feature
Product Gaps vs Competitors,Gap,No clash detection
Product Gaps vs Competitors,Gap,No BIM integration
Product Gaps vs Competitors,Gap,No Takt planning
Product Gaps vs Competitors,Gap,No resource planning (planned)
Product Gaps vs Competitors,Gap,No Procore or Autodesk integration
Product Gaps vs Competitors,Gap,No public API
Product Gaps vs Competitors,Gap,PDF export not available for lookahead or WWP
Product Gaps vs Competitors,Gap,No commissioning-specific solution (planned - rule builder for sub task generation)
Business Target,Target,Achieve €1.5M revenue target
Business Target,Target,Improve PPC on client projects
Business Target,Target,Improve SPI on client projects
Business Target,Target,Become the go-to software for capturing onsite actuals in construction
Business Target,Target,Win GCs building data centres as primary client segment
Objectives and Key results company wide,Objective,Become the go-to software for capturing onsite actuals in construction
Objectives and Key results company wide,Objective,Establish a high-performing team where existing people are empowered to grow and new people are eager to join.
Objectives and Key results company wide,Objective,Create an identity that everyone recognises.
Objectives and Key results company wide,Objective,Plot our own growth trajectory and attain financial stability.
Objectives and Key results company wide,Objective,Provide a seamless implementation experience with exceptional support generating client satisfaction and repeat work.
Objectives and Key results company wide,Key Result,KR 1.1 Deliver the Minimum Lovable Product (MLP) with active weekly use on ≥7 live projects by the end of Q4 2026.
Objectives and Key results company wide,Key Result,KR 1.2 Enable the independent completion of a full Last Planner Cycle on ≥12 live projects by the end of Q4 2026.
Objectives and Key results company wide,Key Result,KR 1.3 Ensure that ≥80% of senior stakeholders on live projects use our product data to inform decisions by the end of Q4 2026.
Objectives and Key results company wide,Key Result,KR 2.1 Implement the OKR & CFR framework with ≥95% adherence from all teams across all quarterly reviews by the end of Q4 2026.
Objectives and Key results company wide,Key Result,KR 2.2 Maintain voluntary staff turnover ≤10% across all teams by the end of Q4 2026.
Objectives and Key results company wide,Key Result,KR 2.3 Achieve an eNPS ≥50 across all active staff by the end of Q4 2026 with a Passive score <15%.
Objectives and Key results company wide,Key Result,KR 3.1 Achieve ≥95% adherence to the Brand Guidelines and Marketing Schedule by the end of Q4 2026.
Objectives and Key results company wide,Key Result,KR 3.2 Generate ≥25 qualified inbound Leads attributable to Marketing by the end of Q4 2026.
Objectives and Key results company wide,Key Result,KR 3.3 Gain ≥20 international media features/mentions in recognized industry or mainstream publications by the end of Q4 2026.
Objectives and Key results company wide,Key Result,KR 4.1 Grow the client database to ≥100 fully profiled companies by the end of Q4 2026.
Objectives and Key results company wide,Key Result,KR 4.2 Secure ≥20 projects each valued ≥€75000 by the end of Q4 2026.
Objectives and Key results company wide,Key Result,KR 4.3 Achieve a 20% Lead-to-Customer conversion rate by the end of Q4 2026.
Objectives and Key results company wide,Key Result,KR 5.1 Resolve ≥90% of support tickets within 72 hours during implementation and 24 Hours during delivery by the end of Q4 2026.
Objectives and Key results company wide,Key Result,KR 5.2 Achieve ≥40% of total new ARR from existing clients via renewals expansions or referrals by the end of Q4 2026.
Objectives and Key results company wide,Key Result,KR 5.3 Achieve an NPS ≥50 across all active clients by the end of Q4 2026 with a Passive score <15%.
Pricing,Model,Per project - scales with client size
Related Workstream,Workstream,Dashboard reporting exports
Related Workstream,Workstream,Weekly leadership updates
Related Workstream,Workstream,Prototype UX iteration
Related Workstream,Workstream,Constraint resolution workflows
Competitive Landscape,Competitor,Aphex - multiplayer scheduling with loose LPS support - strong in UK/European infrastructure - no native PPC - no structured constraint workflow
Competitive Landscape,Competitor,Visilean - LPS + Lean-BIM integrated platform - strong in data centres and global markets - has commissioning checklists for data centres - strong field mobile app
Competitive Landscape,Competitor,Outbuild - LPS-native scheduling - strong in North America - native PPC and analytics - deep Procore and Autodesk integration - no spatial view
Competitive Landscape,Commissioning Note,Visilean has commissioning checklists specifically for data centre projects - this is the only competitor with commissioning-specific functionality
Competitive Landscape,Commissioning Note,Aphex has no commissioning-specific features
Competitive Landscape,Commissioning Note,Outbuild has no commissioning-specific features
Competitive Landscape,Commissioning Note,Uconia has a commissioning solution planned with rule builder for sub task generation - this would be a differentiator vs Aphex and Outbuild in the data centre GC segment
